freq,psd_x,psd_y,psd_z,psd_xyz
140.0,1.212e+03,1.333e+03,6.083e+02,3.153e+03
141.5,1.429e+03,1.050e+03,6.935e+02,3.173e+03
143.0,1.584e+03,8.141e+02,7.526e+02,3.150e+03
144.5,1.786e+03,7.416e+02,8.540e+02,3.382e+03
146.1,2.033e+03,6.735e+02,9.906e+02,3.697e+03
147.6,2.291e+03,5.840e+02,1.111e+03,3.985e+03
149.1,2.749e+03,5.997e+02,1.222e+03,4.571e+03
150.6,3.165e+03,6.445e+02,1.305e+03,5.114e+03
152.1,3.346e+03,6.809e+02,1.339e+03,5.366e+03
153.7,3.339e+03,9.098e+02,1.278e+03,5.528e+03
155.2,2.814e+03,1.334e+03,1.054e+03,5.202e+03
156.7,2.273e+03,1.763e+03,8.204e+02,4.856e+03
158.2,2.169e+03,2.260e+03,6.973e+02,5.127e+03
159.8,1.745e+03,2.681e+03,5.854e+02,5.011e+03
161.3,1.366e+03,3.266e+03,4.530e+02,5.084e+03
162.8,1.350e+03,3.762e+03,4.828e+02,5.595e+03
164.3,1.730e+03,4.051e+03,5.827e+02,6.364e+03
165.8,1.590e+03,4.348e+03,4.923e+02,6.430e+03
167.4,1.435e+03,4.290e+03,4.636e+02,6.188e+03
168.9,1.654e+03,3.817e+03,4.971e+02,5.968e+03
170.4,1.562e+03,3.764e+03,4.768e+02,5.802e+03
171.9,1.363e+03,3.385e+03,4.867e+02,5.234e+03
173.4,1.266e+03,3.029e+03,5.240e+02,4.819e+03
175.0,1.172e+03,3.019e+03,5.951e+02,4.787e+03
176.5,1.206e+03,3.224e+03,6.904e+02,5.120e+03
178.0,2.049e+03,3.286e+03,1.015e+03,6.350e+03
179.5,2.473e+03,3.541e+03,1.080e+03,7.094e+03
181.1,2.123e+03,4.487e+03,8.441e+02,7.454e+03
182.6,2.038e+03,5.764e+03,7.019e+02,8.504e+03
184.1,2.554e+03,6.829e+03,7.756e+02,1.016e+04
185.6,3.423e+03,7.788e+03,9.263e+02,1.214e+04
187.1,4.036e+03,9.502e+03,1.025e+03,1.456e+04
188.7,4.227e+03,1.167e+04,9.568e+02,1.686e+04
190.2,3.924e+03,1.401e+04,7.576e+02,1.869e+04
191.7,3.509e+03,1.748e+04,7.044e+02,2.169e+04
193.2,2.766e+03,1.998e+04,6.263e+02,2.337e+04
194.7,1.891e+03,1.938e+04,4.952e+02,2.176e+04
196.3,1.582e+03,1.916e+04,5.054e+02,2.125e+04
197.8,1.464e+03,1.879e+04,5.370e+02,2.079e+04
199.3,1.371e+03,1.817e+04,5.692e+02,2.011e+04
