freq,psd_x,psd_y,psd_z,psd_xyz
139.1,2.256e+04,1.241e+04,1.357e+04,4.853e+04
140.7,2.409e+04,1.289e+04,1.439e+04,5.137e+04
142.2,2.606e+04,1.334e+04,1.525e+04,5.465e+04
143.7,2.781e+04,1.497e+04,1.644e+04,5.922e+04
145.2,3.148e+04,1.722e+04,1.861e+04,6.731e+04
146.7,3.470e+04,1.792e+04,2.026e+04,7.288e+04
148.2,4.107e+04,2.030e+04,2.347e+04,8.484e+04
149.7,4.740e+04,2.290e+04,2.621e+04,9.652e+04
151.2,5.294e+04,2.381e+04,2.850e+04,1.052e+05
152.8,5.400e+04,2.339e+04,2.810e+04,1.055e+05
154.3,4.966e+04,1.996e+04,2.574e+04,9.536e+04
155.8,4.652e+04,1.652e+04,2.359e+04,8.663e+04
157.3,4.511e+04,1.462e+04,2.157e+04,8.129e+04
158.8,3.158e+04,7.987e+03,1.392e+04,5.349e+04
160.3,2.699e+04,5.105e+03,8.222e+03,4.032e+04
161.8,1.447e+04,4.629e+03,4.889e+03,2.399e+04
163.3,8.448e+03,5.618e+03,6.301e+03,2.037e+04
164.9,1.307e+04,7.789e+03,1.126e+04,3.212e+04
166.4,1.979e+04,1.062e+04,1.533e+04,4.574e+04
167.9,2.609e+04,1.364e+04,1.770e+04,5.744e+04
169.4,3.082e+04,1.544e+04,1.875e+04,6.501e+04
170.9,3.384e+04,1.673e+04,1.889e+04,6.947e+04
172.4,3.811e+04,1.822e+04,1.940e+04,7.572e+04
173.9,3.989e+04,1.793e+04,1.921e+04,7.703e+04
175.4,4.013e+04,1.783e+04,1.835e+04,7.631e+04
177.0,3.945e+04,1.792e+04,1.755e+04,7.492e+04
178.5,3.910e+04,1.740e+04,1.708e+04,7.358e+04
180.0,3.765e+04,1.629e+04,1.647e+04,7.041e+04
181.5,3.487e+04,1.419e+04,1.548e+04,6.454e+04
183.0,3.239e+04,1.229e+04,1.437e+04,5.905e+04
184.5,2.869e+04,1.037e+04,1.249e+04,5.155e+04
186.0,2.388e+04,8.316e+03,1.031e+04,4.251e+04
187.5,1.921e+04,6.575e+03,8.254e+03,3.404e+04
189.1,1.517e+04,4.986e+03,6.440e+03,2.660e+04
190.6,1.350e+04,3.940e+03,5.381e+03,2.282e+04
192.1,1.281e+04,3.216e+03,4.733e+03,2.076e+04
193.6,1.315e+04,2.778e+03,4.611e+03,2.054e+04
195.1,1.349e+04,2.456e+03,4.715e+03,2.066e+04
196.6,1.504e+04,2.487e+03,5.419e+03,2.295e+04
198.1,1.573e+04,2.385e+03,5.773e+03,2.389e+04
199.6,1.630e+04,2.526e+03,5.982e+03,2.480e+04
