freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.228e+01,2.525e+02,1.228e+02,3.876e+02
1.5,4.981e+01,1.509e+02,9.948e+01,3.002e+02
3.0,6.413e+01,3.367e+01,4.321e+01,1.410e+02
4.5,6.489e+01,3.288e+02,4.303e+01,4.368e+02
6.0,6.598e+01,1.267e+03,3.791e+01,1.371e+03
7.6,7.175e+01,1.919e+03,4.855e+01,2.039e+03
9.1,6.831e+01,2.341e+03,4.903e+01,2.458e+03
10.6,6.298e+01,3.410e+03,4.768e+01,3.521e+03
12.1,6.326e+01,5.252e+03,4.315e+01,5.358e+03
13.6,6.547e+01,6.820e+03,4.075e+01,6.926e+03
15.1,6.880e+01,8.368e+03,4.440e+01,8.481e+03
16.6,7.116e+01,1.196e+04,4.825e+01,1.208e+04
18.1,7.897e+01,1.629e+04,8.448e+01,1.645e+04
19.7,9.154e+01,1.876e+04,1.590e+02,1.901e+04
21.2,1.250e+02,1.990e+04,2.199e+02,2.025e+04
22.7,1.220e+02,2.057e+04,2.685e+02,2.096e+04
24.2,9.670e+01,2.288e+04,3.771e+02,2.335e+04
25.7,7.664e+01,2.643e+04,6.480e+02,2.716e+04
27.2,7.859e+01,3.377e+04,1.199e+03,3.505e+04
28.7,7.639e+01,4.052e+04,2.062e+03,4.266e+04
30.2,8.134e+01,4.878e+04,3.829e+03,5.269e+04
31.8,9.142e+01,6.697e+04,8.743e+03,7.580e+04
33.3,1.075e+02,1.024e+05,2.239e+04,1.249e+05
34.8,1.671e+02,1.296e+05,5.975e+04,1.895e+05
36.3,3.850e+02,1.458e+05,1.358e+05,2.821e+05
37.8,5.881e+02,1.099e+05,1.610e+05,2.715e+05
39.3,4.656e+02,6.470e+04,1.357e+05,2.009e+05
40.8,5.941e+02,3.714e+04,1.115e+05,1.493e+05
42.3,9.407e+02,2.539e+04,1.066e+05,1.329e+05
43.9,9.069e+02,2.768e+04,9.932e+04,1.279e+05
45.4,7.665e+02,3.831e+04,8.787e+04,1.269e+05
46.9,1.131e+03,7.300e+04,1.011e+05,1.753e+05
48.4,1.261e+03,2.567e+05,1.977e+05,4.557e+05
49.9,1.726e+03,5.918e+05,3.403e+05,9.337e+05
51.4,1.374e+03,6.532e+05,3.320e+05,9.866e+05
52.9,4.960e+02,4.435e+05,2.212e+05,6.652e+05
54.4,6.601e+02,2.209e+05,1.202e+05,3.417e+05
