freq,psd_x,psd_y,psd_z,psd_xyz
56.0,1.733e+03,1.773e+05,9.450e+04,2.735e+05
57.5,3.071e+03,1.754e+05,8.585e+04,2.643e+05
59.0,3.793e+03,1.798e+05,7.902e+04,2.626e+05
60.5,3.778e+03,1.857e+05,7.676e+04,2.663e+05
62.0,3.390e+03,1.723e+05,7.205e+04,2.477e+05
63.5,2.862e+03,1.460e+05,6.389e+04,2.128e+05
65.0,2.354e+03,1.238e+05,5.790e+04,1.841e+05
66.5,1.954e+03,1.047e+05,5.254e+04,1.591e+05
68.1,1.549e+03,8.846e+04,4.488e+04,1.349e+05
69.6,1.691e+03,8.744e+04,4.499e+04,1.341e+05
71.1,2.131e+03,8.681e+04,5.297e+04,1.419e+05
72.6,2.471e+03,7.129e+04,5.605e+04,1.298e+05
74.1,2.947e+03,4.509e+04,4.613e+04,9.417e+04
75.6,3.617e+03,2.726e+04,3.675e+04,6.763e+04
77.1,4.247e+03,2.157e+04,3.132e+04,5.714e+04
78.6,4.759e+03,2.059e+04,2.394e+04,4.929e+04
80.2,4.864e+03,2.494e+04,1.697e+04,4.677e+04
81.7,4.852e+03,3.460e+04,1.220e+04,5.165e+04
83.2,4.863e+03,4.369e+04,9.540e+03,5.809e+04
84.7,4.975e+03,5.212e+04,7.752e+03,6.484e+04
86.2,5.712e+03,7.061e+04,5.639e+03,8.196e+04
87.7,6.923e+03,1.027e+05,3.697e+03,1.133e+05
89.2,7.001e+03,1.225e+05,3.777e+03,1.332e+05
90.7,5.661e+03,1.156e+05,3.611e+03,1.249e+05
92.3,4.766e+03,9.784e+04,2.384e+03,1.050e+05
93.8,4.281e+03,8.490e+04,2.163e+03,9.135e+04
95.3,3.585e+03,9.348e+04,3.678e+03,1.007e+05
96.8,3.786e+03,1.354e+05,6.689e+03,1.458e+05
98.3,5.483e+03,2.044e+05,8.575e+03,2.185e+05
99.8,6.358e+03,2.444e+05,9.552e+03,2.603e+05
101.3,6.517e+03,3.040e+05,1.079e+04,3.213e+05
102.8,6.239e+03,3.669e+05,1.189e+04,3.850e+05
104.4,5.781e+03,3.891e+05,1.139e+04,4.063e+05
105.9,5.227e+03,3.899e+05,1.016e+04,4.053e+05
107.4,5.045e+03,3.723e+05,8.804e+03,3.861e+05
108.9,4.621e+03,3.414e+05,7.918e+03,3.539e+05
110.4,3.951e+03,2.977e+05,6.979e+03,3.086e+05
111.9,3.017e+03,2.513e+05,5.784e+03,2.601e+05
113.4,2.562e+03,2.099e+05,4.706e+03,2.171e+05
114.9,2.416e+03,1.755e+05,4.037e+03,1.819e+05
116.5,2.378e+03,1.463e+05,3.594e+03,1.523e+05
118.0,2.494e+03,1.242e+05,3.221e+03,1.299e+05
119.5,2.491e+03,1.068e+05,2.964e+03,1.122e+05
121.0,2.602e+03,7.654e+04,2.581e+03,8.172e+04
122.5,2.795e+03,5.763e+04,2.310e+03,6.273e+04
124.0,2.424e+03,5.492e+04,1.969e+03,5.931e+04
125.5,1.977e+03,4.818e+04,1.731e+03,5.189e+04
127.0,1.893e+03,4.247e+04,1.746e+03,4.610e+04
128.6,1.813e+03,4.034e+04,1.629e+03,4.378e+04
130.1,1.497e+03,4.109e+04,1.177e+03,4.376e+04
131.6,1.473e+03,4.049e+04,9.266e+02,4.289e+04
133.1,1.366e+03,2.215e+04,7.548e+02,2.427e+04
134.6,1.378e+03,3.080e+03,5.799e+02,5.038e+03
136.1,1.253e+03,1.533e+03,5.116e+02,3.298e+03
137.6,1.210e+03,1.519e+03,5.302e+02,3.259e+03
139.1,1.297e+03,1.533e+03,6.070e+02,3.437e+03
140.7,1.551e+03,1.403e+03,7.132e+02,3.668e+03
142.2,1.897e+03,1.255e+03,8.818e+02,4.034e+03
143.7,2.440e+03,1.325e+03,1.052e+03,4.818e+03
145.2,2.564e+03,1.626e+03,9.495e+02,5.139e+03
146.7,2.103e+03,2.867e+03,7.224e+02,5.693e+03
148.2,1.371e+03,4.050e+03,6.674e+02,6.088e+03
149.7,1.045e+03,3.992e+03,6.639e+02,5.701e+03
151.2,1.185e+03,5.311e+03,7.441e+02,7.240e+03
152.8,1.360e+03,7.061e+03,1.072e+03,9.492e+03
154.3,1.399e+03,8.000e+03,1.189e+03,1.059e+04
155.8,1.416e+03,9.212e+03,1.234e+03,1.186e+04
157.3,1.625e+03,1.024e+04,1.499e+03,1.337e+04
158.8,1.540e+03,8.459e+03,1.511e+03,1.151e+04
160.3,1.578e+03,5.628e+03,1.207e+03,8.413e+03
161.8,1.602e+03,4.946e+03,1.057e+03,7.606e+03
163.3,1.505e+03,5.262e+03,1.043e+03,7.809e+03
164.9,1.507e+03,6.326e+03,1.123e+03,8.957e+03
166.4,1.401e+03,7.022e+03,1.149e+03,9.572e+03
167.9,1.139e+03,6.973e+03,1.094e+03,9.206e+03
169.4,8.937e+02,5.917e+03,9.441e+02,7.755e+03
170.9,7.905e+02,4.509e+03,7.899e+02,6.090e+03
172.4,7.108e+02,4.976e+03,7.209e+02,6.407e+03
173.9,6.095e+02,5.768e+03,7.303e+02,7.108e+03
175.4,5.419e+02,5.953e+03,6.818e+02,7.177e+03
177.0,4.704e+02,6.586e+03,5.511e+02,7.607e+03
178.5,5.159e+02,8.170e+03,4.731e+02,9.159e+03
180.0,6.775e+02,9.731e+03,5.612e+02,1.097e+04
181.5,8.987e+02,1.049e+04,6.607e+02,1.205e+04
183.0,1.024e+03,1.128e+04,6.723e+02,1.297e+04
184.5,1.095e+03,1.091e+04,5.999e+02,1.261e+04
186.0,1.054e+03,1.030e+04,4.960e+02,1.185e+04
187.5,9.165e+02,1.053e+04,3.706e+02,1.182e+04
189.0,8.614e+02,1.149e+04,4.001e+02,1.276e+04
190.6,8.908e+02,1.154e+04,5.265e+02,1.296e+04
192.1,1.002e+03,1.171e+04,7.031e+02,1.341e+04
193.6,1.165e+03,1.295e+04,1.033e+03,1.515e+04
195.1,1.355e+03,1.355e+04,1.353e+03,1.626e+04
196.6,1.440e+03,1.403e+04,1.703e+03,1.717e+04
198.1,1.355e+03,1.118e+04,1.658e+03,1.419e+04
199.6,1.226e+03,9.723e+03,1.611e+03,1.256e+04
